ISO.code,country,Country,region_west,region_W_SSE,region_W_SAE,region_west_HIW,region_W_SSE_HIW,region_W_SAE_HIW,region_west_MDR,region_W_SSE_MDR,region_W_SAE_MDR,region_west_south,region_west_south_HIW,All_africa_HIW
LBR,LIBERIA,Liberia,WEST AFRICA,WEST AFRICA,WEST AFRICA,WEST AFRICA,WEST AFRICA,WEST AFRICA,WEST AFRICA,WEST AFRICA,WEST AFRICA,SOUTH AND WEST AFRICA,WEST AFRICA,West Africa
LBY,LIBYA,Libya,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA
LCA,SAINT LUCIA,Saint Lucia,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN
LKA,SRI LANKA,Sri Lanka,SOUTH ASIA,SOUTH AND SOUTH EASTERN ASIA,SOUTH AND EAST ASIA,SOUTH ASIA,SOUTH AND SOUTH EASTERN ASIA,SOUTH AND EAST ASIA,SOUTH ASIA,SOUTH AND SOUTH EASTERN ASIA,SOUTH AND EAST ASIA,SOUTH ASIA,SOUTH ASIA,SOUTH ASIA
LSO,LESOTHO,Lesotho,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,SOUTH AND WEST AFRICA,EASTERN MIDDLE AND SOUTH AFRICA,Southern Africa
LTU,LITHUANIA,Lithuania,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,More Developed Region,More Developed Region,More Developed Region,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA
LUX,LUXEMBOURG,Luxembourg,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,High-income Western countries,High-income Western countries,High-income Western countries,More Developed Region,More Developed Region,More Developed Region,EUROPE AND CENTRAL ASIA,High-income Western countries,High-income Western countries
LVA,LATVIA,Latvia,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,More Developed Region,More Developed Region,More Developed Region,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA
MAR,MOROCCO,Morocco,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,More Developed Region,More Developed Region,More Developed Region,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA,MIDDLE EAST AND NORTH AFRICA
MCO,MONACO,Monaco,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,EUROPE AND CENTRAL ASIA,High-income Western countries,High-income Western countries,High-income Western countries,More Developed Region,More Developed Region,More Developed Region,EUROPE AND CENTRAL ASIA,High-income Western countries,High-income Western countries
